id,nombre
1, Leche
2, Huevo
3, Soja
4, Maní
5, Trigo
6, Crustáceos
7, Pescado
8, Nueces de árbol
9, Semillas
10, Legumbres
11, Manzana
12, Melocotón
13, Cereza
14, Kiwi
15, Plátano
16, Verduras
17, Especias
18, Aditivos alimentarios
19, Moluscos
20, Sésamo
21, Altramuz
22, Cebada
23, Centeno
24, Avena
25, Maíz
26, Coco
27, Brócoli
28, Espinacas
29, Tomate
30, Lentejas
31, Garbanzos
32, Alcachofa
33, Espárragos
34, Hinojo
35, Perejil
36, Cilantro
37, Canela
38, Clavo de olor
39, Nuez moscada
40, Pimienta
41, Achiote
42, Cúrcuma
43, Comino
44, Glutamato monosódico
45, Colorantes artificiales
46, Saborizantes artificiales
47, Conservantes artificiales
48, Edulcorantes artificiales
49, Alcohol
50, Cafeína